model,prior_min,prior_median,prior_max,priors_at_0001,priors_at_005,median_abs_prior_shift_from_03,learning_median,guess_median,slip_median,kcs_with_any_boundary_parameter
original_bkt,0.001,0.4882398639068607,0.999,17,0,0.0,0.04752021090549731,0.29381321182326686,0.24683167303889902,81
unprotected_solution_bkt,0.001,0.001,0.001,142,0,0.4872398639068607,0.730462612098244,0.001,0.4157610440559269,142
inference_only_solution_update,0.001,0.4882398639068607,0.999,17,0,0.0,0.04752021090549731,0.29381321182326686,0.24683167303889902,81
hard_floor_005,0.05,0.05,0.05,0,142,0.4382398639068607,0.8110368666364416,0.001,0.44503807489152863,129
fixed_original_prior,0.001,0.4882398639068607,0.999,17,0,0.0,0.7598093369020138,0.001,0.49,131
shrinkage_k20,0.001,0.24412828639209488,0.9986082453185994,17,0,0.02857278624498613,0.893897288851856,0.001,0.4685107247780977,131
